measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-24T04:00:07.540Z,32688263992,openrouter/openai/gpt-4o,10,dense,0.011891,,,pass,,,,,,,,
2026-08-24T04:00:07.540Z,32688263992,openrouter/openai/gpt-4o,11,numbers,0.031884,,,pass,,,,,,,,
2026-08-24T04:00:07.540Z,32688263992,openrouter/openai/gpt-4o,12,special-chars,0.039216,,,pass,,,,,,,,
2026-08-24T04:00:07.540Z,32688263992,openrouter/openai/gpt-4o,13,corrections,0.146018,,,pass,,,,,,,,
2026-08-24T04:00:07.540Z,32688263992,openrouter/openai/gpt-4o,14,margin-note,0.048718,,,pass,,,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,02,rushed-prose,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,03,bulleted-list,0.005102,,list:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,04,numbered-list,0.009615,,list:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,05,table,0.030675,,table:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,06,formula,0.023810,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,07,mixed-language,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,08,diagram,0.187500,,,pass,635b0b92a4432be2,30,,,,,,
